"uid","name","score","experience","combat","defense","stability","position","annualReturn","goodAt","hoppingRate","workDay"
"30042300","程洲",NaN,9.9,NaN,8.5,5.69,1.12,16.73,"股票型",11.89,4706
"30036319","付浩",NaN,9.82,NaN,8.96,NaN,NaN,4.36,"混合型",12.87,4699
"30043456","贺涛",3.07,9.76,1.8,0.86,3.34,2.83,4.98,"债券型",12.23,4679
"30038036","闫旭",4.7,10,6.07,1.14,5.12,2.95,2.83,"混合型",6.39,4667
"30038974","史博",6.27,9.8,7.2,2.46,6.12,8.81,18.23,"混合型",6.39,4665
"30060263","杨明",6.22,9.79,8.52,4.48,4.43,5.14,18.16,"混合型",7.72,4642
"30042249","倪明",2.48,9.79,2.03,0.37,1.65,1.96,11.84,"混合型",6.34,4630
"30039171","何旻",NaN,9.65,NaN,9.59,3.79,8.79,4.48,"QDII",4.22,4624
"30040546","朱志权",2.77,9.85,0.75,0.56,2.43,4.8,6.14,"混合型",12.66,4620
"30038872","邹唯",6.52,9.77,4.48,7.01,7.22,4.93,23.36,"混合型",6.25,4566
"30042940","吴达",6.05,9.76,6.83,6.54,3.47,4.96,16.66,"混合型",12.37,4518
"30047200","刘怡敏",5.6,9.8,6.57,5.64,1.32,7.91,5.5,"债券型",12.33,4502
"30036322","刘明",NaN,9.75,NaN,6.58,NaN,NaN,16.73,"混合型",6.16,4494
"30040363","史向明",NaN,9.88,NaN,0.36,9.04,NaN,3.92,"货币型",6.15,4486
"30047657","李轶",5.74,9.78,9.88,4.88,2.33,1.98,7.49,"债券型",12.28,4483
"30040926","陈鹏",4.68,9.6,3.68,8.16,0.79,2.58,10.08,"混合型",5.52,4413
"30048530","黎颖芳",7.12,9.75,5.47,6.84,7.43,7.75,4.47,"债券型",12.01,4384
"30040375","索峰",NaN,NaN,NaN,NaN,NaN,NaN,9.71,"QDII",5.99,4376
"30043274","欧阳凯",7.51,9.6,6.51,6.86,9.8,4.11,7.85,"债券型",5.99,4372
"30045022","曾刚",4.02,9.74,4.36,0.89,2.11,7.69,7.12,"债券型",3.98,4356
"30040245","胡振仓",7.9,9.73,8,4.93,9.05,9.53,4.89,"债券型",3.93,4315
"30042957","刘彦春",4.71,9.8,8.45,2.69,0.88,3.84,29.57,"混合型",5.91,4313
"30049770","胡戈游",6.03,9.7,3.64,5.38,9.09,2.3,10.97,"混合型",11.75,4287
"30050008","柳军",8.05,9.85,3.75,9.84,7.11,8.88,9.99,"指数型",11.72,4279
"30042438","黄亮",2.88,9.91,3.95,0.41,1.21,1.98,4,"QDII",11.66,4256
"30040512","张娅",NaN,9.71,NaN,3.1,NaN,NaN,12,"债券型",5.83,4253
"30050861","张弘弢",NaN,9.7,NaN,5.1,1.15,8.82,10.05,"债券型",11.62,4243
"30045198","曾国富",4.21,9.68,6.38,0.45,2.79,4.72,15.5,"混合型",11.59,4231
"30048002","蔡宾",NaN,9.66,NaN,1.3,NaN,NaN,3.06,"债券型",11.55,4222
"30040277","李家春",4.08,9.69,6.49,1.64,1.03,4.65,9.45,"债券型",3.85,4221
"30048419","苏玉平",5.46,9.65,2.33,3.09,8.92,5.33,6.26,"债券型",5.63,4220
"30051822","赵晓东",9.16,9.87,9.85,8.55,8.54,9.5,13.69,"股票型",11.47,4188
"30040525","郑可成",5.13,9.84,4.42,1.42,7.94,3.62,5.19,"债券型",5.7,4174
"30053345","孟晨波",4.02,9.84,0.24,8.34,0.67,3.9,2.69,"货币型",11.44,4174
"30052601","张原",5.36,9.61,7.27,6,0.91,4.88,16.36,"股票型",11.41,4166
"30052616","徐林明",5.29,9.54,3.23,4.26,3.45,8.82,11.29,"指数型",11.4,4162
"30053299","梁洪昀",4.74,9.08,6.1,5.39,2.54,2.17,11.31,"指数型",9.55,4125
"30050178","胡涛",4.72,9.65,7.45,2.92,1.56,4.22,24.28,"混合型",5.65,4122
"30054768","吕慧建",3.07,9.65,1.9,0.86,2.3,4.8,16.19,"混合型",11.26,4111
"30054653","顾耀强",4.45,9.64,3.75,1.28,6.37,3.15,16.58,"混合型",11.17,4078
"30055839","李笑薇",7.31,9.73,8.53,8.45,5.07,5.86,8.23,"指数型",11.17,4077
"30055955","游凛峰",7.37,9.39,9.21,5.41,8.97,2.42,11.05,"QDII",10.14,4074
"30054615","罗博",NaN,9.63,NaN,6.22,4.73,0.81,9.91,"混合型",11.16,4072
"30048753","姚锦",5.8,9.62,6.23,6.18,3.56,4.87,19.56,"混合型",5.58,4070
"30056227","冯波",4.31,8.6,5.73,2.68,2.65,3.78,22.66,"混合型",11.15,4069
"30056226","周欣",4.44,9.12,2.89,4.86,0.52,9.89,7.91,"QDII",10.16,4069
"30047073","陈若劲",4.78,9.64,3.14,2.4,6.97,3.59,6.56,"债券型",5.57,4067
"30056566","韩晶",6.04,9.63,8.37,3.14,4.39,6.88,6.82,"债券型",11.11,4055
"30048332","傅鹏博",5.68,9.6,7.59,1.9,6.15,4.52,25.91,"混合型",5.54,4047
"30057297","王栩",8.13,9.82,8.84,9.51,5.43,7.68,19.38,"股票型",11.05,4032
"30057296","吴振翔",7.39,9.65,3.38,9.03,6.06,8.55,11.63,"指数型",11.05,4032
"30050883","周鸣",4.79,9.61,7.21,3.97,1.99,2.38,5.14,"债券型",5.52,4031
"30056329","闾志刚",4.81,9.58,6.95,0.42,3.81,6.51,10.71,"混合型",11.04,4028
"30057702","刘俊",5.19,9.57,1.42,4.63,7.37,5.13,11.34,"混合型",10.98,4007
"30057703","许定晴",4.68,9.5,3.81,3.05,3.82,6.55,17.77,"混合型",10.47,4007
"30057836","邹新进",NaN,7.54,7.35,5.1,6.83,NaN,13.97,"债券型",6.02,4004
"30057450","张胜记",5.83,9.3,5,1.22,8.28,8.35,4.28,"QDII",10.12,3981
"30059033","吴勇",3.43,8.84,6.82,0.2,1.59,1.4,12.58,"混合型",8.41,3964
"30058026","黄欣",7.53,9.58,0.59,8.95,7.82,9.01,10.79,"指数型",10.86,3963
"30059214","綦缚鹏",7,9.49,6.78,6.51,8.67,2.56,6.9,"混合型",10.42,3956
"30059395","温秀娟",7.38,9.8,5,8.89,6,8.43,2.82,"货币型",10.82,3950
"30058432","周毅",NaN,NaN,NaN,NaN,8.66,NaN,-3.26,"指数型",8.09,3942
"30056788","龚炜",3.82,9.37,3.47,0.46,4.86,3.61,8.01,"混合型",4.95,3935
"30059051","奚鹏洲",6.79,9.59,8.08,3.73,7.06,6.98,6.16,"债券型",10.77,3930
"30060238","余广",4.02,9.56,6.64,1.69,0.68,4.55,20.86,"混合型",10.74,3920
"30054195","刘斌",7.13,9.74,7.65,3.26,9.79,5.87,5.56,"股票型",5.36,3913
"30059748","王平",5.22,9.72,2.21,2.8,7.29,7.4,7.75,"股票型",10.67,3896
"30060933","赵滔滔",3.84,9.76,0.89,3.79,2.37,5.34,1.82,"货币型",9.45,3895
"30040392","王春",3.48,9.53,1.05,4.47,0.96,5.31,23.41,"混合型",5.28,3854
"30061219","张永志",3.9,9.56,7.85,0.17,0.61,4.34,4.97,"债券型",10,3848
"30058304","崔建波",6.43,9.48,8.91,4.21,4.15,7.39,9.14,"混合型",5.27,3846
"30050037","李飞",2.97,9.44,4.59,0.66,1.08,1.69,3.12,"债券型",4.67,3838
"30040414","王筱苓",6.62,9.69,5.59,7.1,4.51,8.84,21.4,"股票型",10.5,3832
"30059687","聂曙光",6.93,9.44,1.97,9.09,8.09,7.7,4.29,"混合型",5.09,3824
"30040976","韩海平",5.41,9.55,3.47,5.45,6.28,3.29,7.89,"债券型",2.73,3812
"30062210","翁启森",4.09,9.64,2.35,2.95,4.58,3.31,8.07,"股票型",10.43,3807
"30064073","李璇",7.43,9.54,5.35,9.14,8.38,4.19,4.56,"债券型",10.41,3804
"30055337","陆欣",6.35,9.46,7.73,7.55,1.62,7.56,3.72,"债券型",3.37,3798
"30051450","牛勇",NaN,9.66,NaN,4.46,1.14,1.87,15.91,"混合型",5.19,3792
"30038667","何肖颉",3.22,9.92,2.28,2.38,0.56,5.41,16.27,"股票型",5.19,3788
"30040309","刘静",3.67,9.72,2.83,4.66,1.93,2.25,6.66,"货币型",5.16,3772
"30064163","申庆",NaN,9.51,NaN,3.43,2.2,NaN,10.87,"债券型",10.31,3763
"30061388","张琦",6.3,9.62,9.41,1.76,4.38,9.71,23.26,"股票型",5.15,3763
"30049498","王品",5.76,9.59,2.31,4.77,7.08,8.14,13.14,"股票型",5.14,3752
"30041094","于海颖",5.95,9.49,8,5.12,4.43,3.02,4.33,"债券型",3.41,3738
"30065466","陈士俊",5.48,9.38,5.44,5.74,4.51,3.03,14.68,"指数型",10.21,3725
"30061544","王克玉",8.28,9.46,9.96,7.08,7.41,7.84,36.79,"混合型",5.1,3724
"30061866","朱丹",5.3,9.45,8.83,4.89,1.78,1.92,6.51,"混合型",5.1,3721
"30040370","孙鲁闽",6.68,9.71,3.89,7.15,8.35,4.98,8.03,"混合型",10.19,3721
"30066292","王宗合",3.31,9.42,0.42,0.32,4.49,6.56,22.15,"混合型",10.16,3707
"30040249","黄瑞庆",NaN,9.57,NaN,8.65,NaN,NaN,6.44,"股票型",2.54,3706
"30047220","吴丰树",6.68,9.42,6.65,6.09,7.2,4.11,12.62,"混合型",3.38,3704
"30063821","王少成",5.27,9.41,5.54,1.83,7.16,3.66,10.77,"混合型",5.07,3700
"30057445","张少华",NaN,9.45,NaN,1.63,NaN,NaN,7.77,"混合型",0.58,3698
"30067891","何秀红",6.81,9.45,5.06,6.05,9.16,4.5,6.08,"债券型",10.04,3663
"30069488","王保合",6.9,9.27,3.01,9.07,5.28,7.3,8.16,"指数型",9.98,3642
"30069893","白洁",4.87,9.34,0.58,4.71,7.23,4.55,4.18,"债券型",9.94,3628
"30070384","叶松",5.54,9.37,8.1,3.41,2.03,7.9,11.32,"混合型",9.91,3616
"30052841","王健",8.3,9.35,9.36,5.78,9.23,8.27,26.48,"混合型",4.95,3610
"30070935","张峰",5.99,9.34,7.2,2.52,5.4,8.33,25.45,"混合型",9.87,3602
"30067732","郭晨",3.58,9.32,5.15,0.26,2.36,3.78,16.74,"混合型",4.92,3595
"30064895","周心鹏",3.83,9.34,0.42,2.01,6.11,4.25,14.48,"混合型",4.92,3595
"30071364","魏欣",7.5,9.18,6.62,7.04,7.74,8.04,3.74,"混合型",9.33,3594
"30062366","谢志华",4.96,9.43,5.41,1.84,5.44,4.9,4.84,"债券型",4.92,3592
"30065459","彭敢",4.4,9.32,8.82,1.96,0.9,2.52,16.81,"混合型",4.89,3591
"30072182","乐育涛",6.71,8.77,7.37,4.73,5.69,9.34,2.8,"QDII",9.79,3573
"30072180","徐幼华",NaN,9.31,NaN,8.36,NaN,NaN,8.18,"混合型",9.78,3571
"30071658","陆志明",8.4,9.12,6.25,8.29,9.86,7.11,4.31,"指数型",9.73,3550
"30054245","胡伟",6.88,9.4,6.34,5.57,7.59,6.63,5.77,"债券型",4.86,3547
"30061323","吴印",3.21,9.29,1.9,3.59,0.97,3.45,21.14,"混合型",3.23,3537
"30061107","华志贵",8.16,9.39,8.73,9.39,5.34,8.95,2.15,"债券型",4.83,3529
"30075269","李栋梁",4.14,9.18,4.19,1.32,5.14,2.62,6.86,"债券型",8.93,3525
"30079450","陶灿",5.19,9.29,7.68,0.87,4.47,6.15,26.79,"混合型",9.62,3512
"30079449","邱宇航",6.29,9.29,8.28,3.6,7.66,1.97,13,"混合型",9.62,3512
"30079451","冯雨生",NaN,9.39,NaN,7.53,NaN,NaN,3.8,"股票型",9.62,3512
"30079448","姜锋",5.5,9.27,9.08,3.9,3,2.74,18.37,"混合型",9.62,3511
"30045199","戴奇雷",6.99,9.27,7.81,5.89,5.83,7.62,8.89,"混合型",4.81,3511
"30074106","杜猛",3.59,9.25,4.98,0.08,1.58,6.22,19.66,"混合型",9.62,3510
"30079581","梁浩",5.5,9.21,6.89,4.84,3.18,4.93,24.07,"混合型",9.42,3509
"30057541","钟光正",7.02,9.36,7.03,8.55,6.07,3.48,6.35,"债券型",4.79,3496
"30075339","代宇",7.02,9.35,9.71,5.71,6.28,3.41,5.9,"债券型",9.55,3487
"30131213","王晓晨",5.94,9.33,9.07,2.48,4.73,5.6,5.57,"债券型",9.53,3477
"30132083","冉凌浩",NaN,9.04,NaN,1.63,8.39,NaN,12.99,"指数型",9.5,3466
"30131310","李巍",4.5,9.22,6.9,0.31,4.02,4.34,18.34,"混合型",9.43,3441
"30134062","周大鹏",NaN,9.31,NaN,0.47,5,NaN,6.37,"股票型",9.41,3435
"30046790","徐小勇",7.37,9.2,8.76,6.9,6.7,5.05,54.7,"混合型",4.69,3427
"30135006","张杨",3.68,9.2,6.53,0.63,0.61,4.71,22.1,"混合型",9.37,3421
"30136170","赵栩",NaN,NaN,NaN,NaN,NaN,NaN,15.2,"",9.35,3413
"30136174","邹德立",8.71,9.6,7.5,8.42,9.33,9.16,3.31,"货币型",9.35,3412
"30075270","桂跃强",7.51,9.18,9.12,4.17,8.44,7.42,14.5,"混合型",4.66,3403
"30074226","董晗",NaN,9.15,NaN,5.67,3.03,6.1,11.05,"债券型",4.65,3398
"30044540","王忠波",3.9,9.17,0.38,2.87,7.54,0.42,20.97,"混合型",2.32,3389
"30137813","李媛媛",6.48,9.53,0,5.14,9.7,9.56,2.53,"货币型",9.28,3388
"30133443","王景",7.14,9.18,6.41,9.79,7.24,1.08,16.51,"股票型",9.28,3387
"30137817","宋青",NaN,9.17,NaN,2.65,NaN,NaN,0.65,"混合型",9.28,3386
"30137860","陈昕",4.68,9.49,1.43,9.45,4.44,1,3.25,"货币型",9.27,3385
"30066753","余海燕",7.36,8.92,0.96,9.22,7.54,8.09,12.61,"指数型",4.63,3383
"30139227","黄安乐",4.54,9.15,6.11,0.19,5.76,3.02,10.57,"混合型",9.25,3377
"30140867","孙芳",3.54,9.13,5.44,0.59,1.36,4.38,17.18,"混合型",9.21,3362
"30053793","戴钢",4.8,9.23,7.79,1.23,4.19,2.75,6.9,"债券型",9.21,3362
"30062415","杨鹏",5.12,8.44,6.31,3.06,6.11,1.55,14.42,"混合型",3.71,3360
"30040527","郑晓辉",3.69,9.11,4.99,2.25,2.2,1.53,11.12,"混合型",4.6,3357
"30075266","章旭峰",3.02,9.1,5.3,1.1,0.71,0.81,23.19,"混合型",4.59,3352
"30142281","伍旋",6.44,8.79,9.4,6.23,5.22,0.99,11.33,"混合型",9.16,3342
"30079452","杨成",7.24,9.1,2.34,9.07,8.61,8.74,10.58,"混合型",4.56,3328
"30158275","苏秉毅",5.93,8.53,9.16,3.55,2.74,7.99,11.33,"混合型",9.04,3299
"30060121","李坤元",5.37,9.1,6.78,1.56,7.76,1.69,13.4,"混合型",1.62,3298
"30037948","汪晖",NaN,9.01,NaN,6.25,NaN,NaN,5.96,"混合型",4.52,3296
"30133215","宋炳珅",6.31,9.16,5.22,5.8,6.88,5.5,9.4,"股票型",9.02,3294
"30156331","董山青",4.55,9.7,2.09,1.45,8.42,2.76,9.36,"混合型",9,3286
"30070859","张靖",7.66,9.08,9.5,5.73,8.39,4.97,13.85,"混合型",4.5,3283
"30159168","胡剑",6.95,9.19,9.48,4.07,8.21,2.85,6.28,"债券型",8.98,3279
"30157009","杨永光",7.43,9.08,3.38,9.32,8.8,7.36,9.2,"混合型",8.98,3279
"30159644","汤海波",6.66,8.33,5.79,8.24,4.14,8.57,20.19,"QDII",8.96,3269
"30070040","刘辉",3.69,9.06,4.93,0.08,1.84,6.76,26.29,"混合型",2.98,3266
"30161722","叶乐天",NaN,9.04,NaN,4.77,9.12,3.95,15.28,"混合型",8.93,3258
"30037628","沈雪峰",7.49,9.04,9.71,2.66,8.88,8.38,42.14,"混合型",2.98,3256
"30043844","吴战峰",3.5,9.03,6.34,0.81,0.55,3.6,13.36,"混合型",2.97,3253
"30163518","吴昊",3.66,9.01,2.8,1.84,3.94,3.12,15.19,"混合型",8.87,3237
"30165678","张睿",6.05,9.15,9.69,3.43,4.32,4.38,4.86,"债券型",8.82,3221
"30140597","胡永青",4.03,9.14,4.71,1.45,3.01,4.73,5.44,"债券型",4.4,3211
"30142282","刘苏",5.02,8.97,9.58,3,1,4,32.48,"混合型",4.38,3195
"30068797","尤柏年",NaN,NaN,NaN,NaN,NaN,NaN,9.12,"",4.37,3192
"30058771","黄万青",5.17,8.65,4.11,6.55,1.8,7.76,3.92,"混合型",7.95,3190
"30165005","江科宏",4.76,8.02,5.06,2.39,4.59,5.94,9.95,"混合型",6.55,3175
"30069931","王智慧",5.73,8.95,8.37,4.12,3.65,4.62,17.8,"混合型",4.33,3162
"30176370","郑青",5.64,9.45,3.69,6.6,6.3,4.06,5.32,"货币型",8.65,3158
"30176884","郭锐",5.97,8.93,6.28,3.03,9.13,1.95,18.5,"混合型",8.62,3147
"30177040","薛琳",6.46,8.93,5.12,2.5,9.7,8.07,8.46,"混合型",8.62,3146
"30159203","车广路",2.46,8.92,0.93,1.74,0.19,5.03,12.7,"混合型",4.31,3145
"30156082","杨岳斌",5.07,8.91,7.99,1.49,4.88,2.95,20.86,"混合型",4.3,3142
"30133951","陈钢",8.91,8.81,7.99,9.85,8.92,8.96,7.34,"混合型",9.47,3141
"30177032","谭昌杰",7.47,8.91,5.67,9.29,7.8,5.34,6.37,"混合型",8.6,3138
"30170018","夏晨曦",8.01,9.41,8.21,9.72,7.26,6.14,3.43,"货币型",8.59,3137
"30161286","付娟",3.65,8.83,2.78,2.03,3.27,4.18,23.72,"混合型",4.28,3127
"30165669","方磊",6.39,8.46,7.28,2.79,9.3,4.8,11.74,"指数型",8.56,3125
"30180744","宋永安",5.45,8.89,8.43,4.78,2.95,2.37,10.55,"混合型",8.56,3123
"30180540","姜晓丽",5.97,9.08,7.44,3.75,6.35,3.6,6.13,"债券型",8.56,3123
"30060003","朱虹",4.56,9.06,0.39,1.4,7.74,8.37,2.62,"债券型",2.85,3119
"30075368","李达夫",4.74,9.37,2.67,7.19,4.96,1.81,3.64,"货币型",4.27,3119
"30071232","董元星",5.04,9.04,3.84,7.01,3.11,3.33,4.78,"债券型",4.27,3118
"30181039","王登峰",6.01,9.33,0.95,10,2.22,9.2,2.98,"货币型",8.54,3118
"30182148","刘欣",5.54,8.85,6.06,4.42,6.07,2.88,20.62,"指数型",9.21,3112
"30164237","魏博",3.47,9.37,3.66,2.2,1.06,4.57,19.43,"混合型",8.52,3111
"30176879","蔡目荣",5.17,8.81,8.87,2.88,2.53,3.96,15.72,"混合型",8.38,3105
"30179659","刘太阳",4.48,8.93,2.44,3.36,3.61,8.1,2.82,"债券型",8.19,3092
"30185328","马君",NaN,8.84,NaN,2.55,0.39,NaN,13.27,"混合型",8.41,3091
"30070771","刘朝阳",8.02,9.29,9.4,9.84,5.11,7.11,3.35,"货币型",2.68,3076
"30136523","刘元海",5.29,8.86,8.24,0.93,4.76,5.59,24.3,"混合型",8.41,3071
"30036857","陈国光",2.79,8.86,1.21,2.17,2.16,2.35,12.38,"混合型",4.21,3071
"30189744","张坤",6.29,8.83,7.02,3.06,9.04,3.27,28.8,"混合型",8.4,3067
"30189741","萧楠",4.43,8.39,4.58,1.61,2.55,9.54,29.14,"混合型",7.26,3067
"30189737","陈皓",4.65,8.83,6.36,3.19,2.62,3.99,21.97,"混合型",8.4,3067
"30189730","郑希",4.58,8.83,3.6,5.13,3.46,3.4,15.82,"混合型",8.4,3067
"30069306","宋德舜",NaN,8.8,NaN,6.19,NaN,NaN,23.07,"混合型",8.32,3056
"30177085","袁宜",6.87,9.37,4.52,6.84,8.76,5.33,15.27,"混合型",8.36,3053
"30181575","余志勇",5.35,8.73,3.92,6.62,3.28,6.4,7.89,"债券型",7.74,3053
"30191326","胡洁",6.23,8.27,2.79,9.11,4.93,4.47,18.06,"指数型",8.35,3049
"30165688","周健",4.03,8.38,2.13,1.24,6.8,1.64,12.39,"指数型",8.5,3047
"30176255","周雪军",6.17,8.81,8.41,3.34,4.83,7.41,23.73,"混合型",4.17,3046
"30141534","桑迎",7.09,9.25,8.33,7.47,4.59,6.87,3,"货币型",4.16,3037
"30195060","赖中立",4.96,7.98,0.26,7.3,7.41,1.76,2.74,"QDII",8.31,3033
"30136277","魏军",5.82,8.15,8.99,7.98,0.54,6.53,13.04,"指数型",4.15,3026
"30164013","赵云阳",NaN,NaN,NaN,NaN,NaN,NaN,9.19,"",8.28,3021
"30196298","谷衡",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"",NaN,3021
"30164255","张凯",NaN,9.35,NaN,7.05,7.39,NaN,21.8,"指数型",10.8,3020
"30196301","魏晓雪",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"",NaN,3019
"30073914","王培",NaN,8.77,7.09,3.67,5.7,NaN,32.67,"混合型",4.12,3010
"30196303","石大怿",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"",NaN,3008
"30053934","陈凯杨",5.15,8.96,4.13,5.56,4.12,4.61,3.99,"债券型",8.21,2998
"30106034","任爽",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"",NaN,2992
"30159178","张芊",5.54,8.21,9.3,1.67,4.93,4.32,7.96,"债券型",7.5,2990
"30164243","卢轶乔",4.07,9.15,0.38,2.08,7.08,4.29,10.75,"混合型",8.17,2983
"30164252","神玉飞",4.76,9.15,3.07,4.62,3.79,5.94,21.56,"混合型",8.17,2983
"30069921","孙蓓琳",6.67,8.75,8.9,3.52,6.77,6.23,25.21,"混合型",4.09,2983
"30105820","陈建华",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"",NaN,2982
"30131775","蔡铮",4.59,8.95,6.67,2.84,2.41,3.96,12.17,"QDII",8.15,2977
"30170849","李杰",7.07,8.9,5.29,9,5.32,8.47,3.55,"债券型",4.06,2966
"30197761","彭海平",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"",NaN,2965
"30070812","刘建岩",7.9,9.09,9.01,8.53,6.73,5.58,4.42,"债券型",4.04,2962
"30097442","曾鹏",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"",NaN,2955
"30198157","魏桢",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"",NaN,2945
"30198031","谢治宇",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"",NaN,2944
"30272025","张凯瑜",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"",NaN,2944
"30282114","李君",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"",NaN,2942
"30198131","程琨",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"",NaN,2937
"30040221","傅友兴",7.92,9.72,7.74,7.19,9.99,3.83,17.93,"混合型",8.05,2937
"30176648","于启明",NaN,8.85,NaN,4.36,NaN,NaN,4.97,"债券型",4.01,2928
"30198307","徐艳芳",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"",NaN,2917
"30072562","黄纪亮",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"",NaN,2916
"30189735","郑迎迎",4.62,8.81,4.07,1.74,4.8,6.94,7.16,"债券型",3.99,2914
"30137549","唐俊杰",7.98,8.8,7.27,7.35,9.68,6.41,5.92,"债券型",3.99,2913
"30198173","刘宁",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"",NaN,2906
"30198442","董阳阳",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"",NaN,2903
"30192538","郭杰",2.58,8.9,0.13,3.21,0,5.03,19.24,"股票型",7.95,2901
"30164168","陈学林",4.37,7.81,0.79,2.57,8.79,2.86,-1.23,"QDII",7.93,2895
"30059042","张志强",5.73,8.04,5.37,3.22,7.61,5.07,12.58,"指数型",7.93,2893
"30178536","谈洁颖",6.43,8.67,5.88,4.09,7.89,7.02,11.91,"混合型",3.96,2893
"30135982","蔡奕奕",6.62,8.89,7.86,8.81,5.04,3.65,3.9,"货币型",3.95,2887
"30137090","王超",6.88,8.82,7.35,4.59,7.99,6.35,3.31,"混合型",3.95,2883
"30106590","徐猛",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"",NaN,2875
